year,total_u_s_gdp,for_hire_transportation_services_gdp_total,air_transportation_4,rail_transportation_5,water_transportation_6,truck_transportation_7,transit_and_ground_passenger_transportation_8,pipeline_transportation_9,other_transportation_and_support_activities_10,warehousing_and_storage_11,percent_of_u_s_gdp,for_hire_transportation_services,air_transportation_14,rail_transportation_15,water_transportation_16,truck_transportation_17,transit_and_ground_passenger_transportation_18,pipeline_transportation_19,other_transportation_and_support_activities_20,warehousing_and_storage_21,percent_of_for_hire_transportation_services_gdp,air_transportation_23,rail_transportation_24,water_transportation_25,truck_transportation_26,transit_and_ground_passenger_transportation_27,pipeline_transportation_28,other_transportation_and_support_activities_29,warehousing_and_storage_30
1980,2788.1,102.6,13.1,20.2,3.5,28.4,5.8,5.1,20.2,6.4,NA,3.679925397,0.469854022,0.724507729,0.125533517,1.018614827,0.208026972,0.182920268,0.724507729,0.229547003,NA,12.76803119,19.68810916,3.411306043,27.68031189,5.653021442,4.970760234,19.68810916,6.237816764
1985,4217.5,137.1,19.3,21,4,39.4,7.3,7.3,29.3,9.5,NA,3.25074096,0.457617072,0.497925311,0.094842916,0.934202727,0.173088322,0.173088322,0.694724363,0.225251926,NA,14.07731583,15.31728665,2.91757841,28.73814734,5.324580598,5.324580598,21.37126185,6.929248724
1990,5800.5,172.8,31.3,18.6,5.1,49.7,9,6,39.9,13,NA,2.97905353,0.539608654,0.320662012,0.087923455,0.856822688,0.155159038,0.103439359,0.687871735,0.22411861,NA,18.11342593,10.76388889,2.951388889,28.76157407,5.208333333,3.472222222,23.09027778,7.523148148
1995,7414.7,231.7,46.2,21.1,6.3,69.3,11.8,6.7,51.6,18.8,NA,3.124873562,0.623086571,0.284569841,0.084966351,0.934629857,0.159143323,0.09036104,0.695914872,0.25355038,NA,19.93957704,9.106603366,2.719033233,29.90936556,5.092792404,2.891670263,22.27017695,8.11394044
1996,7838.5,241.3,46.9,20.9,6.6,73.1,12.8,7.1,54.3,19.6,NA,3.078395101,0.598328762,0.266632647,0.084199783,0.932576386,0.163296549,0.090578555,0.692734579,0.250047841,NA,19.43638624,8.661417323,2.735184418,30.29423954,5.304600083,2.942395358,22.50310816,8.122668877
1997,8577.552,257.255,54.657,19.966,6.564,77.138,15.123,6.953,55.862,20.992,NA,2.999165729,0.637209777,0.232770376,0.07652533,0.899300873,0.176309045,0.081060424,0.651258075,0.24473183,NA,21.24623428,7.761170823,2.551553906,29.9850343,5.878602943,2.702765738,21.71464111,8.15999689
1998,9062.817,279.997,55.17,22.202,6.479,85.592,16.162,9.803,59.813,24.776,NA,3.089514,0.60875112,0.244979017,0.071489913,0.944430413,0.178333072,0.108167251,0.659982432,0.273380782,NA,19.70378254,7.929370672,2.313953364,30.56889895,5.772204702,3.50110894,21.36201459,8.848666236
1999,9631.172,290.122,57.672,22.588,6.628,92.372,17.683,10.444,58.126,24.61,NA,3.012322903,0.598805628,0.234530128,0.068818208,0.959094075,0.183601746,0.108439554,0.603519489,0.255524457,NA,19.87853386,7.785690158,2.284556152,31.83901945,6.095022094,3.599864884,20.03501975,8.482638338
2000,10250.952,307.775,58.099,23.289,8.046,98.022,18.451,9.361,65.846,26.66,NA,3.002404069,0.566766872,0.227188655,0.078490271,0.956223383,0.179993039,0.091318348,0.642340341,0.260073406,NA,18.87710178,7.566891398,2.614247421,31.84859069,5.994963853,3.041507595,21.39420031,8.662172041
2001,10581.929,308.009,49.207,23.331,8.254,97.214,19.035,16.068,69.116,25.786,NA,2.91070749,0.465009735,0.22047965,0.078000901,0.918679383,0.179882137,0.151843771,0.653151235,0.243679579,NA,15.97583188,7.574778659,2.679791824,31.56206474,6.18001422,5.21673068,22.43960404,8.371833291
2002,10929.108,305.647,52.043,21.722,7.036,97.111,19.461,10.033,71.688,26.552,NA,2.796632625,0.476187078,0.19875364,0.064378538,0.888553759,0.178065767,0.091800722,0.655936422,0.242947549,NA,17.02715878,7.106891283,2.302001983,31.77227324,6.367149031,3.282544897,23.45450798,8.687145629
2003,11456.45,321.402,54.607,23.445,8.223,101.397,21.41,10.325,73.262,28.733,NA,2.805424019,0.476648526,0.204644545,0.071776161,0.885064745,0.186881626,0.090123904,0.639482562,0.25080195,NA,16.99024897,7.294603021,2.558478168,31.54834133,6.661439568,3.212487788,22.79450657,8.939894587
2004,12217.196,352,60.816,25.24,8.635,109.105,23.037,10.641,80.929,33.596,NA,2.881184848,0.497790164,0.20659405,0.070679066,0.893044525,0.188562089,0.087098545,0.662418774,0.274989449,NA,17.27727273,7.170454545,2.453125,30.99573864,6.544602273,3.023011364,22.99119318,9.544318182
2005,13039.197,375.649,61.681,28.005,8.824,116.858,23.548,9.848,88.807,38.08,NA,2.880921271,0.473042934,0.214775496,0.067672879,0.896205495,0.180593943,0.075526123,0.681077217,0.292042524,NA,16.41984938,7.455097711,2.349001328,31.10829524,6.268617779,2.621596224,23.64095206,10.13712269
