Sum of RETAIL SALES,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels, ,2017-10,2017-11,2017-12,2017-6,2017-7,2017-8,2017-9,2018-1,2018-2,2019-1,2019-10,2019-11,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2020-1,2020-3,2020-7,2020-9,(blank),Grand Total
BEER,,22583.78,23341.14,28822.16,27863.26,27157.11,23030.13,23852.76,16606.33,18640.31,17117.74,23500.15,26087.62,19014.53,20782.07,20535.97,27905.13,27867.04,28776.2,27134.42,23758.83,18241.05,30333.67,28907.53,22361.6,,574220.53
DUNNAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
KEGS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
LIQUOR,,32491.59,35524.77,49522.28,35035.31,33360.53,32186.04,32532.32,28579.87,28852.31,29227.06,33125.38,37932.37,29815.1,32150.16,29719.95,34570.71,33495.02,33039.7,33624.86,30377.12,29345.39,40648.27,35430.95,32104.37,,802691.43
NON-ALCOHOL,6934,945.63,1005.19,1316.44,1209.23,1231.78,1091.28,997.11,732.25,812.84,889.82,1000.64,1197.34,972.43,1065.75,993.85,1302.34,1256.66,1323.96,1303.57,1031.37,929.81,1565.82,1788.57,1186.63,,34084.31
REF,0,22.82,63.11,41.21,30.6,67.42,19.54,38.88,23.66,41.52,30.75,21.91,23.61,26.35,19.95,22.62,22.4,24.63,28.15,21.95,17.73,16.02,22.08,8.17,8.55,,663.63
STR_SUPPLIES,505.98,84.38,106.06,439.64,89.22,77.86,77.34,94.64,56.94,47.76,69.1,83.53,105.97,71.25,75.61,72.85,84.85,97.78,79.7,85.14,86.36,108.26,35.87,47.87,56.92,,2740.88
WINE,,33108.76,38275.92,51492.76,33129.64,30730.59,30707.45,32936.89,29792.72,29409.39,28745.21,29585.02,35439.95,30194.83,30324.1,28975.48,31036.31,28080.51,27483.01,28433.64,26814.72,25091.07,36201.92,25583.51,24925.19,,746498.59
(blank),0,,,,,,,,,,,,,,,,,,,,,,,,,,0
Grand Total,7439.98,89236.96,98316.19,131634.49,97357.26,92625.29,87111.78,90452.6,75791.77,77804.13,76079.68,87316.63,100786.86,80094.49,84417.64,80320.72,94921.74,90821.64,90730.72,90603.58,82086.13,73731.6,108807.63,91766.6,80643.26,,2160899.37
