CHECK_ITEM_L,HISP,SEX,SCRMCTRL
,1,1,2.03002e+18
,1,2,2.03003e+18
,2,1,2.03003e+18
,1,1,2.03003e+18
,2,1,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,3,1,2.03003e+18
,3,2,2.03003e+18
,1,2,2.03003e+18
,2,2,2.03003e+18
,2,2,2.03003e+18
1.0,1,1,2.03003e+18
,1,1,2.03003e+18
,1,2,2.03003e+18
,1,2,2.03003e+18
,3,2,2.03003e+18
,1,2,2.03003e+18
,3,1,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,1,1,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,1,2,2.03003e+18
,1,2,2.03003e+18
,2,1,2.03003e+18
,1,1,2.03003e+18
,4,2,2.03003e+18
,4,1,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,1,1,2.03003e+18
,1,1,2.03003e+18
,1,2,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,1,2,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,2,2,2.03003e+18
,2,1,2.03003e+18
,2,2,2.03003e+18
,1,2,2.03003e+18
,3,1,2.03003e+18
,1,1,2.03003e+18
,1,2,2.03003e+18
,1,1,2.03003e+18
,2,2,2.03003e+18
,1,1,2.03003e+18
,1,1,2.03004e+18
,3,1,2.03009e+18
,3,2,2.03009e+18
,4,1,2.03009e+18
,1,2,2.0301e+18
,1,1,2.0301e+18
,1,2,2.0301e+18
,4,1,2.0301e+18
,4,2,2.0301e+18
,1,2,2.0301e+18
,1,1,2.0301e+18
,1,2,2.0301e+18
,1,1,2.0301e+18
,1,2,2.0301e+18
,1,2,2.0301e+18
,1,2,2.0301e+18
,1,1,2.0301e+18
,1,2,2.0301e+18
,2,1,2.0301e+18
,1,1,2.0301e+18
,1,1,2.0301e+18
,1,2,2.0301e+18
,2,2,2.0301e+18
,1,1,2.0301e+18
,1,2,2.0301e+18
,1,2,2.0301e+18
,1,1,2.0301e+18
,1,1,2.0301e+18
,1,2,2.0301e+18
,3,2,2.0301e+18
,3,1,2.0301e+18
,3,1,2.0301e+18
,3,1,2.0301e+18
,2,2,2.03012e+18
,2,1,2.03012e+18
,2,1,2.03012e+18
,2,2,2.03012e+18
,1,1,2.03012e+18
,1,2,2.03012e+18
,1,2,2.03012e+18
,1,1,2.03012e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,3,1,2.03013e+18
,3,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,1,2.03013e+18
,3,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,2,2,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,3,1,2.03013e+18
,2,2,2.03013e+18
,1,1,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,1,1,2.03013e+18
,4,2,2.03013e+18
,4,1,2.03013e+18
,4,2,2.03013e+18
,1,1,2.03013e+18
,1,2,2.03013e+18
,2,2,2.03013e+18
,2,1,2.03013e+18
,1,2,2.03017e+18
,1,1,2.03017e+18
,1,1,2.03019e+18
,1,1,2.03019e+18
,3,2,2.03019e+18
,1,1,2.03019e+18
,3,2,2.0302e+18
,3,2,2.0302e+18
,3,1,2.0302e+18
,3,2,2.0302e+18
,3,1,2.0302e+18
,3,1,2.0302e+18
,4,1,2.0302e+18
,4,2,2.0302e+18
,1,1,2.0302e+18
,1,2,2.0302e+18
,1,1,2.0302e+18
,1,2,2.0302e+18
,4,2,2.0302e+18
,1,1,2.0302e+18
,1,1,2.0302e+18
,1,1,2.0302e+18
,2,2,2.0302e+18
,1,2,2.0302e+18
,1,1,2.0302e+18
,1,2,2.0302e+18
,2,2,2.0302e+18
1.0,1,2,2.0302e+18
,1,1,2.0302e+18
,1,1,2.0302e+18
,2,1,2.0302e+18
,1,2,2.0302e+18
,1,2,2.0302e+18
,1,1,2.0302e+18
,1,2,2.0302e+18
,1,1,2.0302e+18
,1,2,2.0302e+18
,1,1,2.0302e+18
,1,1,2.0302e+18
,1,2,2.0302e+18
,5,2,2.03032e+18
,1,1,2.03033e+18
,1,2,2.03033e+18
,1,1,2.03033e+18
,1,2,2.03033e+18
,4,2,2.03033e+18
,4,1,2.03033e+18
,2,2,2.03033e+18
,3,2,2.03033e+18
,1,1,2.03033e+18
,1,2,2.03033e+18
,1,1,2.03033e+18
,1,1,2.03033e+18
,1,1,2.03033e+18
,2,2,2.03033e+18
,1,2,2.03033e+18
,1,2,2.03033e+18
,1,1,2.03033e+18
,1,2,2.03033e+18
,1,2,2.03033e+18
,1,1,2.03033e+18
,2,1,2.03033e+18
,2,2,2.03033e+18
,1,2,2.03033e+18
,1,2,2.03033e+18
,1,2,2.03033e+18
,1,1,2.03033e+18
,1,2,2.03033e+18
,1,1,2.03033e+18
,1,1,2.03033e+18
,1,2,2.03033e+18
,5,1,2.03033e+18
,1,2,2.03033e+18
,2,1,2.03033e+18
,5,2,2.03033e+18
,1,2,2.03033e+18
,1,1,2.03033e+18
,1,2,2.03033e+18
,1,2,2.03033e+18
,3,1,2.03033e+18
,1,1,2.03033e+18
,1,2,2.03039e+18
,1,1,2.03039e+18
,2,2,2.03039e+18
,1,2,2.03039e+18
,5,1,2.03039e+18
,1,1,2.0304e+18
