"year","total_u_s_gdp","for_hire_transportation_services_gdp_total","air_transportation_4","rail_transportation_5","water_transportation_6","truck_transportation_7","transit_and_ground_passenger_transportation_8","pipeline_transportation_9","other_transportation_and_support_activities_10","warehousing_and_storage_11","percent_of_u_s_gdp","for_hire_transportation_services","air_transportation_14","rail_transportation_15","water_transportation_16","truck_transportation_17","transit_and_ground_passenger_transportation_18","pipeline_transportation_19","other_transportation_and_support_activities_20","warehousing_and_storage_21","percent_of_for_hire_transportation_services_gdp","air_transportation_23","rail_transportation_24","water_transportation_25","truck_transportation_26","transit_and_ground_passenger_transportation_27","pipeline_transportation_28","other_transportation_and_support_activities_29","warehousing_and_storage_30"
1980,2788.1,102.6,13.1,20.2,3.5,28.4,5.8,5.1,20.2,6.4,NA,3.67992539722392,0.469854022452566,0.724507729278003,0.125533517449159,1.01861482730175,0.208026971772892,0.18292026828306,0.724507729278003,0.229547003335605,NA,12.7680311890838,19.6881091617934,3.41130604288499,27.6803118908382,5.65302144249513,4.97076023391813,19.6881091617934,6.23781676413255
1985,4217.5,137.1,19.3,21,4,39.4,7.3,7.3,29.3,9.5,NA,3.25074096028453,0.457617071724956,0.497925311203319,0.0948429164196799,0.934202726733847,0.173088322465916,0.173088322465916,0.694724362774155,0.22525192649674,NA,14.0773158278629,15.3172866520788,2.91757840991977,28.7381473377097,5.32458059810357,5.32458059810357,21.3712618526623,6.92924872355945
1990,5800.5,172.8,31.3,18.6,5.1,49.7,9,6,39.9,13,NA,2.97905352986812,0.539608654426343,0.320662011895526,0.0879234548745798,0.856822687699336,0.155159038013964,0.103439358675976,0.687871735195242,0.224118610464615,NA,18.1134259259259,10.7638888888889,2.95138888888889,28.7615740740741,5.20833333333333,3.47222222222222,23.0902777777778,7.52314814814815
1995,7414.7,231.7,46.2,21.1,6.3,69.3,11.8,6.7,51.6,18.8,NA,3.12487356197823,0.623086571270584,0.284569840991544,0.0849663506278069,0.934629856905876,0.159143323398115,0.0903610395565566,0.695914871808704,0.253550379651233,NA,19.9395770392749,9.1066033664221,2.7190332326284,29.9093655589124,5.09279240397065,2.89167026327147,22.2701769529564,8.11394044022443
1996,7838.5,241.3,46.9,20.9,6.6,73.1,12.8,7.1,54.3,19.6,NA,3.07839510110353,0.598328761880462,0.266632646552274,0.0841997831217707,0.932576385788097,0.163296549084646,0.0905785545703897,0.692734579320023,0.250047840785865,NA,19.4363862411935,8.66141732283464,2.73518441773726,30.2942395358475,5.30460008288438,2.94239535847493,22.5031081641111,8.1226688769167
1997,8577.552,257.255,54.657,19.966,6.564,77.138,15.123,6.953,55.862,20.992,NA,2.9991657293363,0.637209777335072,0.232770375510402,0.0765253303040308,0.899300872789812,0.176309044818382,0.0810604237665945,0.651258074564864,0.244731830247138,NA,21.2462342811607,7.76117082272453,2.55155390565781,29.9850343044839,5.87860294260559,2.70276573827525,21.7146411148471,8.15999689024509
1998,9062.817,279.997,55.17,22.202,6.479,85.592,16.162,9.803,59.813,24.776,NA,3.0895139998965,0.608751120098751,0.244979017009833,0.0714899131252457,0.944430412751355,0.178333072376944,0.108167250866921,0.659982431511085,0.273380782156365,NA,19.7037825405272,7.92937067182863,2.31395336378604,30.5688989524888,5.77220470219324,3.50110894045293,21.3620145930135,8.84866623570967
1999,9631.172,290.122,57.672,22.588,6.628,92.372,17.683,10.444,58.126,24.61,NA,3.01232290317316,0.598805628224685,0.234530127797531,0.0688182082097589,0.959094074947473,0.18360174649565,0.10843955439691,0.603519488593911,0.255524457459591,NA,19.87853385817,7.78569015793356,2.2845561522394,31.8390194469913,6.09502209415349,3.59986488442793,20.0350197503119,8.48263833835421
2000,10250.952,307.775,58.099,23.289,8.046,98.022,18.451,9.361,65.846,26.66,NA,3.00240406939765,0.566766871993938,0.227188655258556,0.0784902709523954,0.956223382959944,0.179993038695333,0.0913183477983313,0.642340340682505,0.260073405865133,NA,18.8771017788969,7.56689139793681,2.6142474210056,31.8485906912517,5.99496385346438,3.04150759483389,21.394200308667,8.66217204126391
2001,10581.929,308.009,49.207,23.331,8.254,97.214,19.035,16.068,69.116,25.786,NA,2.91070749009939,0.465009734992552,0.22047964978786,0.0780009013479489,0.9186793825587,0.179882136801334,0.15184377063955,0.65315123546945,0.243679578647712,NA,15.9758318750426,7.57477865906516,2.67979182426488,31.5620647448614,6.18001422036369,5.21673067994766,22.4396040375444,8.37183329058566
2002,10929.108,305.647,52.043,21.722,7.036,97.111,19.461,10.033,71.688,26.552,NA,2.79663262546221,0.476187077664527,0.198753640278786,0.064378538486398,0.888553759373592,0.178065767123904,0.0918007215227446,0.655936422258797,0.242947548875901,NA,17.0271587812084,7.10689128308146,2.30200198267937,31.7722732433166,6.36714903139897,3.28254489656368,23.4545079781578,8.68714562878091
2003,11456.45,321.402,54.607,23.445,8.223,101.397,21.41,10.325,73.262,28.733,NA,2.80542401878418,0.476648525503101,0.204644545212522,0.0717761610271943,0.885064745187209,0.186881625634468,0.0901239040016759,0.639482562224773,0.250801949993235,NA,16.9902489716928,7.29460302051636,2.55847816752852,31.5483413295499,6.66143956789317,3.21248778787935,22.7945065680985,8.9398945868414
2004,12217.196,352,60.816,25.24,8.635,109.105,23.037,10.641,80.929,33.596,NA,2.88118484797985,0.497790163962336,0.206594049894919,0.0706790658020056,0.893044525110345,0.188562089042363,0.0870985453617999,0.662418774324321,0.274989449297531,NA,17.2772727272727,7.17045454545454,2.453125,30.9957386363636,6.54460227272727,3.02301136363636,22.9911931818182,9.54431818181818
2005,13039.197,375.649,61.681,28.005,8.824,116.858,23.548,9.848,88.807,38.08,NA,2.8809212714556,0.473042933548745,0.214775495760974,0.0676728789357197,0.896205494862912,0.180593943016583,0.0755261232727752,0.681077216641485,0.292042523784248,NA,16.4198493806718,7.45509771089501,2.3490013283677,31.1082952436982,6.26861777883077,2.62159622413476,23.6409520589699,10.1371226863375
